,Unnamed: 0,date,text,nagisa_score,laura_score,elisa_score,concordancy,id,text_clean,text_normalized
47,47,2018-04-12 00:12:53,Quando que a lei do retorno vai acontecer pra Jô ein????? #OOutroLadoDoParaiso,-1,-1,-1,-1,47,Quando que a lei do retorno vai acontecer pra Jô ein?????,Quando que a lei do retorno vai acontecer pra Jô hein ? ? ? ? ? 
48,48,2018-04-11 00:45:05,"Qdo penso q esse núcleo do Samuel vai melhorar, Walcyr bem e estraga agr
#OOutroLadoDoParaíso",-1,-1,-1,-1,48,"Qdo penso q esse núcleo do Samuel vai melhorar, Walcyr bem e estraga agr","Quando penso que esse núcleo do Samuel vai melhorar , Walker bem e estraga agora "
49,49,2018-04-13 01:16:15,AI QUE TRISTE CARAAAAAAA TADINHO DO AMARO #OOutroLadoDoParaiso,-1,-1,-1,-1,49,AI QUE TRISTE CARAAAAAAA TADINHO DO AMARO,AI QUE TRISTE CARAAAAAAA Todinho DO Amaro 
50,50,2018-04-13 01:04:47,Johnny péssimo personagem e o ator é ruim tbm. #OOutroLadoDoParaiso,-1,-1,-1,-1,50,Johnny péssimo personagem e o ator é ruim tbm.,Johnny péssimo personagem e o ator é ruim também . 
51,51,2018-04-10 00:29:06,"EU QUERO MEU CLARICK CARALHO

#OOutroLadoDoParaiso",-1,1,-1,-1,51,EU QUERO MEU CLARICK CARALHO,EU QUERO MEU Clarice Carlo 
52,52,2018-04-14 01:02:46,"Clara ama Patrick, mas é burra e existem milhares de Claras por aí kkkk. 
#OOutroLadoDoParaiso
#Clarick",1,-1,-1,-1,52,"Clara ama Patrick, mas é burra e existem milhares de Claras por aí kkkk.","Clara ama Patrick , mas é burra e existem milhares de Claras por aí Kick . "
53,53,2018-04-11 00:58:51,Tadinho do xodó morrendo de medo #OoutroLadoDoParaíso,-1,-1,-1,-1,53,Tadinho do xodó morrendo de medo,Todinho do xodó morrendo de medo 
54,54,2018-04-13 01:03:49,#OOutroLadoDoParaíso.  Sophia é doente mental. Não se intimida com José Vitor.,-1,-1,-1,-1,54,Sophia é doente mental. Não se intimida com José Vitor.,Sophia é doente mental . Não se intimida com José Vitor . 
55,55,2018-04-13 00:39:00,Adriana ainda não fez a passagem? Que droga! #OOutroLadoDoParaíso,-1,-1,-1,-1,55,Adriana ainda não fez a passagem? Que droga!,Adriana ainda não fez a passagem ? Que droga ! 
56,56,2018-04-10 01:32:51,"Essa novela já virou piada faz tempo, o cara era gay, depois bi e depois hetero. Agora ta voltando a ser gay e não… https://t.co/76WkVwjtA2",-1,0,-1,-1,56,"Essa novela já virou piada faz tempo, o cara era gay, depois bi e depois hetero. Agora ta voltando a ser gay e não…","Essa novela já virou piada faz tempo , o cara era gay , depois bi e depois útero . Agora está voltando a ser gay e não… "
57,57,2018-04-12 00:18:16,"Adriana podia morrer né, tá muito embuste !!! #OOutroLadoDoParaíso",-1,-1,-1,-1,57,"Adriana podia morrer né, tá muito embuste !!!","Adriana podia morrer né , tá muito embuste ! ! ! "
58,58,2018-04-14 00:33:16,"#OOutroLadoDoParaíso Apesar de irritante 😒 o Bruno tá certo em ser ponderado. Ele tá prevendo os passos da Sofia, e não ignorando o caso. 😑",1,-1,-1,-1,58,"Apesar de irritante 😒 o Bruno tá certo em ser ponderado. Ele tá prevendo os passos da Sofia, e não ignorando o caso. 😑","Apesar de irritante 😒 o Bruno tá certo em ser ponderado . Ele tá prevendo os passos da Sofia , e não ignorando o caso . 😑 "
59,59,2018-04-12 00:15:09,"Alguém esfrega a cara dessa chata da Adriana no chapisco, por favor! #OOutroLadoDoParaiso",-1,-1,-1,-1,59,"Alguém esfrega a cara dessa chata da Adriana no chapisco, por favor!","Alguém esfrega a cara dessa chata da Adriana no chuvisco , por favor ! "
60,60,2018-04-11 01:03:24,"irmão porra nenhuma, PRIMO #OOutroLadoDoParaiso",-1,-1,0,-1,60,"irmão porra nenhuma, PRIMO","Irmão porra nenhuma , PRIMO "
61,61,2018-04-10 00:33:01,"Inconformada q a Clara vai deixar de ficar com o príncipe Patrick por causa da embuste da Adriana, Q NOJO! 
#OOutroLadoDoParaíso",-1,-1,-1,-1,61,"Inconformada q a Clara vai deixar de ficar com o príncipe Patrick por causa da embuste da Adriana, Q NOJO!","Inconformada que a Clara vai deixar de ficar com o príncipe Patrick por causa da embuste da Adriana , que NOJO ! "
62,62,2018-04-12 00:18:30,#OoutroLadoDoParaiso Mano que ódio dessa fdp dessa Jô,-1,-1,-1,-1,62,Mano que ódio dessa fdp dessa Jô,Mano que ódio dessa filho da puta dessa Jô 
63,63,2018-04-10 01:10:57,"A Andriana falando pro Patrick que ele nunca assumiu a Clara pra insinuar que ele nao ama ela, me poupe, se poupe n… https://t.co/JCtWY2n4t6",-1,0,-1,-1,63,"A Andriana falando pro Patrick que ele nunca assumiu a Clara pra insinuar que ele nao ama ela, me poupe, se poupe n…","A Andriani falando pro Patrick que ele nunca assumiu a Clara pra insinuar que ele não ama ela , me poupe , se poupe não… "
64,64,2018-04-14 01:06:00,Alguma das quengas já NÃO se apaixonou? Pq olha tão ruim de escola heim #OOutroLadoDoParaiso,-1,-1,0,-1,64,Alguma das quengas já NÃO se apaixonou? Pq olha tão ruim de escola heim,Alguma das quengas já NÃO se apaixonou ? porque olha tão ruim de escola hem 
65,65,2018-04-12 00:33:25,"@CRF_Aparecida Não importa o que Gael faça até o fim dessa novela vou falar mal do Gael kkk
#OOutroLadoDoParaiso… https://t.co/p8l3pRP9We",1,-1,-1,-1,65,"_Aparecida Não importa o que Gael faça até o fim dessa novela vou falar mal do Gael kkk
…",_Aparecida Não importa o que Gael faça até o fim dessa novela vou falar mal do Gael kcs … 
66,66,2018-04-11 00:44:14,"Porra, Samuel 

#OOutroLadoDoParaiso",-1,-1,-1,-1,66,"Porra, Samuel","Porra , Samuel "
67,67,2018-04-10 01:16:46,"nao acredito que melissa aceitou casar com diego de novo, que mico #OOutroLadoDoParaiso",-1,-1,-1,-1,67,"nao acredito que melissa aceitou casar com diego de novo, que mico","Não acredito que melissa aceitou casar com Diego de novo , que mico "
68,68,2018-04-11 00:55:46,saturada do Gael regenerado #OOutroLadoDoParaíso https://t.co/Tv1s2Dizyk,0,-1,-1,-1,68,saturada do Gael regenerado,Saturada do Gael regenerado 
69,69,2018-04-12 00:04:42,"Credo qualquer pessoa confunde a cabeça da clara, só basta da um papo errado...
#Clarick #OOutroLadoDoParaíso",-1,-1,-1,-1,69,"Credo qualquer pessoa confunde a cabeça da clara, só basta da um papo errado...","Credo qualquer pessoa confunde a cabeça da clara , só basta da um papo errado ... "
70,70,2018-04-11 01:33:38,Vontade de dar uma surra na Clara pra ela largar a mão de ser burra #OOutroLadoDoParaíso,-1,-1,-1,-1,70,Vontade de dar uma surra na Clara pra ela largar a mão de ser burra,Vontade de dar uma surra na Clara pra ela largar a mão de ser burra 
71,71,2018-04-12 00:10:11,"Que nada de ruim aconteça com o Xodó, se não eu surto hein #OoutroLadoDoParaíso",-1,-1,-1,-1,71,"Que nada de ruim aconteça com o Xodó, se não eu surto hein","Que nada de ruim aconteça com o Xodó , se não eu surto hein "
72,72,2018-04-10 01:06:54,"Depois desse sorriso da Clara pro Gael (após ser espancada e estuprada por ela) (segundo o @WalcyrCarrasco, ele mud… https://t.co/NxF3KBkIqR",-1,0,-1,-1,72,"Depois desse sorriso da Clara pro Gael (após ser espancada e estuprada por ela) (segundo o , ele mud…","Depois desse sorriso da Clara pro Gael ( após ser espancada e estuprada por ela ) ( segundo o , ele mud… "
73,73,2018-04-14 00:35:18,"#OOutroLadoDoParaíso eu olho pro bruno e a única coisa que me vem na cabeça é aquele tweet ""brancos fedem a danone""",-1,0,-1,-1,73,"eu olho pro bruno e a única coisa que me vem na cabeça é aquele tweet ""brancos fedem a danone""","Eu olho pro Bruno e a única coisa que me vem na cabeça é aquele tweed "" brancos fedem a Danone "" "
74,74,2018-04-14 01:09:49,Aaaaa não creiooo plantão  #OOutroLadoDoParaiso,-1,-1,-1,-1,74,Aaaaa não creiooo plantão,AAA não creio plantão 
75,75,2018-04-12 00:33:36,Acho Gael um personagem bom. Guizé manda bem. Mas esse sapatinho de riquinho do sertão me incomoda um pouco #OOutroLadoDoParaíso,1,-1,-1,-1,75,Acho Gael um personagem bom. Guizé manda bem. Mas esse sapatinho de riquinho do sertão me incomoda um pouco,Acho Gael um personagem bom . Guizo manda bem . Mas esse sapatinho de riquinho do sertão me incomoda um pouco 
76,76,2018-04-10 01:00:13,"MEU DEUS A CLARA É MUITO BURRA &amp; RIDÍCULA

QUE TEXTO RUIM #OOutroLadoDoParaíso",-1,-1,-1,-1,76,"MEU DEUS A CLARA É MUITO BURRA &amp; RIDÍCULA

QUE TEXTO RUIM",MEU DEUS A CLARA É MUITO BURRA &amp ; RIDÍCULA QUE TEXTO RUIM 
77,77,2018-04-13 00:40:53,claro q a Jô ia ser compatível com a Adriana: igualmente insuportáveis #OOutroLadoDoParaíso,-1,-1,-1,-1,77,claro q a Jô ia ser compatível com a Adriana: igualmente insuportáveis,Claro que a Jô ia ser compatível com a Adriana : igualmente insuportáveis 
78,78,2018-04-14 01:23:49,q inferno essa Adriana. pqp #OOutroLadoDoParaiso,-1,-1,-1,-1,78,q inferno essa Adriana. pqp,Que inferno essa Adriana . Puta que pariu 
79,79,2018-04-11 00:59:19,Nunca torci tanto pra Sophia dar uma tesourada em alguém 🤔 ranço do Zé Vitor ✂️✂️⚰️😒#OOutroLadoDoParaiso,-1,-1,-1,-1,79,Nunca torci tanto pra Sophia dar uma tesourada em alguém 🤔 ranço do Zé Vitor ✂️✂️⚰️😒,Nunca torci tanto pra Sophia dar uma tesourada em alguém 🤔 ranço do Zé Vitor ✂️✂️⚰️😒 
80,80,2018-04-11 00:43:56,Ta uma palhaçada ja essa historia do samuel #OOutroLadoDoParaíso,-1,1,-1,-1,80,Ta uma palhaçada ja essa historia do samuel,Está uma palhaçada já essa história do Samuel 
81,81,2018-04-13 01:17:44,Amaro pedindo 3 tapas na cara pra voltar a si. #OOutroLadoDoParaiso,-1,-1,0,-1,81,Amaro pedindo 3 tapas na cara pra voltar a si.,Amaro pedindo 3 tapas na cara pra voltar a si . 
82,82,2018-04-11 01:43:58,"Gente ainda n superei o término de Clarick, aquela naja da adrianaprecisa de um rim e não de uma piroca #OOUTROLADODOPARAISO",-1,-1,-1,-1,82,"Gente ainda n superei o término de Clarick, aquela naja da adrianaprecisa de um rim e não de uma piroca","Gente ainda não superei o término de Clarice , aquela naja da adrianaprecisa de um rim e não de uma piroga "
83,83,2018-04-13 01:28:08,"AGORA TOMA NA CARA ADRIANA. 

#OOutroLadoDoParaíso",-1,-1,1,-1,83,AGORA TOMA NA CARA ADRIANA.,AGORA TOMA NA CARA Adriana . 
84,84,2018-04-12 00:28:01,Maltratou a mãe para proteger essa mulher idiota #OOutroLadoDoParaiso,-1,-1,-1,-1,84,Maltratou a mãe para proteger essa mulher idiota,Maltratou a mãe para proteger essa mulher idiota 
85,85,2018-04-10 01:30:17,"Não sei quem é mais ridiculo(a) o Samuel ou a Suzi, ela sabe q o homem gosta da outra coisa e ainda fica com uma co… https://t.co/0eTP5HII3w",-1,-1,-1,-1,85,"Não sei quem é mais ridiculo(a) o Samuel ou a Suzi, ela sabe q o homem gosta da outra coisa e ainda fica com uma co…","Não sei quem é mais ridículo ( a ) o Samuel ou a Suzi , ela sabe que o homem gosta da outra coisa e ainda fica com uma co… "
86,86,2018-04-13 00:45:21,Cada vez mais entendendo pq Henrique banana tomou chifrão da Beth com Renan #ooutroladodoparaíso,-1,0,-1,-1,86,Cada vez mais entendendo pq Henrique banana tomou chifrão da Beth com Renan,Cada vez mais entendendo porque Henrique banana tomou cifrão da Beth com Renan 
87,87,2018-04-14 00:57:03,GENEROSA????? O PATRICK NÃO É UM RIM E NÃO VAI SALVAR A VIDA DELA #OOutroLadoDoParaiso,-1,-1,-1,-1,87,GENEROSA????? O PATRICK NÃO É UM RIM E NÃO VAI SALVAR A VIDA DELA,GENEROSA ? ? ? ? ? O Patrick NÃO É UM RIM E NÃO VAI SALVAR A VIDA DELA 
88,88,2018-04-10 00:30:06,Agora perguntou pk criar um personagem tão incrível como Patrick na vida da Clara para depois ficar com outro que é… https://t.co/Q6tNffajWf,-1,1,-1,-1,88,Agora perguntou pk criar um personagem tão incrível como Patrick na vida da Clara para depois ficar com outro que é…,Agora perguntou pk criar um personagem tão incrível como Patrick na vida da Clara para depois ficar com outro que é… 
89,89,2018-04-13 01:38:30,Quero ver agora o tombo da Adriana quando souber sobre o embuste do avô dela que não pq cargas d'água ninguém ainda… https://t.co/PXwBkABvHn,-1,-1,0,-1,89,Quero ver agora o tombo da Adriana quando souber sobre o embuste do avô dela que não pq cargas d'água ninguém ainda…,Quero ver agora o tombo da Adriana quando souber sobre o embuste do avô dela que não porque cargas demais ' água ninguém ainda… 
90,90,2018-04-10 01:25:38,"Nádia Naja me fazendo chorar 😢

#OOutroLadoDoParaiso",-1,-1,-1,-1,90,Nádia Naja me fazendo chorar 😢,Nádia Naja me fazendo chorar 😢 
91,91,2018-04-11 00:31:49,Af coisa idiota essas visões dessas gentes do núcleo Mercedes. Não suporto #OOutroLadoDoParaíso,-1,0,-1,-1,91,Af coisa idiota essas visões dessas gentes do núcleo Mercedes. Não suporto,Ave Maria coisa idiota essas visões dessas gentes do núcleo Mercedes . Não suporto 
92,92,2018-04-14 01:07:29,Aff... Todas as meninas do bordel irão casar? #OOutroLadoDoParaiso,-1,0,-1,-1,92,Aff... Todas as meninas do bordel irão casar?,Ave Maria ... Todas as meninas do bordel irão casar ? 
93,93,2018-04-14 01:06:52,"#OoutroLadoDoParaíso Este cara vai dar um golpe na Leandra, já tô vendo 😒😒😒",-1,-1,-1,-1,93,"Este cara vai dar um golpe na Leandra, já tô vendo 😒😒😒","Este cara vai dar um golpe na Leandra , já tô vendo 😒😒😒 "
94,94,2018-04-13 01:27:36,"Minha mãe tem a mesma doença da Adriana e não é desse jeito não, hemodiálise faz ela viver #OOutroLadoDoParaíso",-1,1,-1,-1,94,"Minha mãe tem a mesma doença da Adriana e não é desse jeito não, hemodiálise faz ela viver","Minha mãe tem a mesma doença da Adriana e não é desse jeito não , hemodiálise faz ela viver "
