date,text,nagisa_score,laura_score,elisa_score
2018-04-14 01:27:49,"Minha BEATRIZ TA VIVAAAAAAA

#OOutroLadoDoParaíso",1,1,1
2018-04-14 00:36:10,"Gael vai ter q falar com a clara, pq se fosse pro bruno ajudar, sofia NUNCA seria presa #OOutroLadodoParaíso",-1,0,0
2018-04-12 00:18:42,Quando a Beth vai dá uns tapas na cara da Marisol vulgo Jô? Tá na hora já ! #OOutroLadoDoParaiso,-1,-1,-1
2018-04-11 20:41:00,Valentina Bulc entra em #Ooutroladodoparaíso para virar a cabeça de Johnny https://t.co/A2mFg3IZYr https://t.co/orjtl8k36F,0,0,0
2018-04-13 00:53:52,Queria que a Adriana ouvisse tudo que a Jô falou. ...#OOutroLadoDoParaíso,0,0,0
2018-04-14 01:27:03,A veia tá viva #OOutroLadoDoParaiso,1,1,0
2018-04-13 01:11:07,"#OOutroLadoDoParaíso
Tenho certeza  que o Mariano não morreu @sophiaabrahao  😂",1,0,1
2018-04-14 00:27:24,Bruno é pior q o Dante #OOutroLadoDoParaiso,-1,-1,0
2018-04-11 01:30:02,Veeeem Patrick nosso herói 💜#OOutroLadoDoParaíso,1,1,1
2018-04-14 01:11:59,"Produção to no chão se a chave do cofrinho é o que to pensando hahahaha
#OOutroLadoDoParaíso",1,1,1
2018-04-10 00:49:02,"Pra pessoa mudar de vida, ela precisa querer mudar né? 
- Clara Lispector #OOutroLadoDoParaíso",0,0,0
2018-04-14 18:10:25,"Raquel pede ajuda da Grande Mãe para decidir se volta para Bruno

https://t.co/SB6coJb1NY

#VenhaVer #Blog #Blogs… https://t.co/0JMNnasWBb",0,0,0
2018-04-12 00:04:23,"Se Sophia soubesse tudo o que Xodó sabe dela, já tinha tesourado até a ALMA dele. #OOutroLadodoParaiso",0,1,0
2018-04-10 01:01:30,Essa palhaçada do Gael bom sem condições né gente ? #OOutroLadoDoParaíso,-1,1,-1
2018-04-14 00:50:30,#OOutroLadoDoParaiso Sophia já pode meter a tesoura no Gael,-1,0,0
2018-04-12 00:33:28,"Roubo o marido da ""amiga"" mas não dou meu rim! - Jô, bela, recatada e do lar. #OOutroLadoDoParaíso",1,-1,-1
2018-04-10 00:28:04,"Tudo culpa do encosto da Adriana, por que essa embuste não morre? #OOutroLadoDoParaíso",-1,-1,-1
2018-04-12 00:14:44,"#OOutroLadoDoParaiso

só falta a Adriana culpar a Beth pq tá com problemas nos rins",-1,-1,-1
2018-04-12 00:26:03,Ahhhhhh olha a máscara da Jô caindo!!! #OOutroLadoDoParaíso,1,1,1
2018-04-10 01:36:57,"""Todo mundo que sabia o que eu sei morreu."" (Xodó)
Faz sentido. #OOutroLadoDoParaíso",1,0,1
2018-04-14 00:37:28,Como condenar o Dr. Samuel se tratando do Cido né Brasil! Hahahahaha #Ooutroladodoparaíso,1,1,1
2018-04-14 01:48:21,"Só eu quero saber  o que a mulher do hospício tem pra falar?? Será que a Beatriz tá viva, meldels?#OOutroLadoDoParaíso",0,0,0
2018-04-13 01:08:08,#ooutroladodoparaiso coragem botar um espancador morando com a vítima parabéns @gshow podiam colocar esse incentivo… https://t.co/ZoV5R0uAXj,-1,1,-1
2018-04-10 00:27:57,"Que palhaçada é essa, Walcyr? Tá querendo mesmo juntar clara e o psicopata? ME POUPE! #OoutroLadoDoParaíso https://t.co/5nY8yNFDbp",-1,-1,-1
2018-04-14 01:08:33,GENTE MARIANO ESTÁ VIVO É ISSO????? #OOutroLadoDoParaiso,1,0,0
2018-04-11 01:30:41,ai patrick eu te amo mas não fode #OOutroLadoDoParaiso https://t.co/8G3PX4D8xR,1,-1,-1
2018-04-14 01:28:15,"Gente esse carneirinho é muito lindo ne??

#OOutroLadoDoParaiso https://t.co/RjH2IisE9Y",1,1,1
2018-04-10 01:16:26,"Até que enfim Diego acordou pra vida, pediu a Melissa em casamento novamente  😅😍😍 #OOutroLadoDoParaíso",1,1,1
2018-04-14 00:56:50,Renato depois que caiu a máscara de vilão se tornou um canastrão de primeira linha #OOutroLadoDoParaíso,-1,-1,0
2018-04-11 01:33:07,"Nao me aparece um Patrick na minha vida , mas na da Clara ..... Arfs #OOutroLadoDoParaiso",-1,0,-1
2018-04-10 01:01:34,E continua o processo de beatificação da personagem do Gael kkkkk #Ooutroladodoparaiso,1,1,-1
2018-04-10 00:50:32,toma vergonha na cara walcyr carrasco forçando clara e gael  #ooutroladodoparaiso https://t.co/H2luzcPZKg,-1,-1,-1
2018-04-11 01:36:06,"#OOutroLadoDoParaíso imagina se essa história da Mercedes aguardar o fim do mundo n seja avulsa, e no final da nove… https://t.co/GWTEbj9SZR",0,-1,0
2018-04-13 01:08:09,"#OOutroLadoDoParaiso desnecessário essa palhaçada aí do Gael na casa da Clara... Ódio! Gael, te odeio",-1,-1,-1
2018-04-11 00:54:56,"Se o Amaro ficar cego ou não, ninguém se importa mesmo. #OOutroLadoDoParaíso",-1,-1,-1
2018-04-13 00:41:35,"Essa novela é uma arriada ne mano,ta loco #OOutroLadoDoParaiso",-1,-1,-1
2018-04-12 00:30:49,Vão contar pra Adriana ou vão fazer igual no caso do avô?? #OOutroLadoDoParaiso https://t.co/IjjCMOPav7,-1,0,0
2018-04-12 00:15:16,Depois do julgamento da Beth a Adriana perdeu totalmente o sentido. Se eu fosse o outor teria matado ela naquele ac… https://t.co/hY83qzeYGA,-1,-1,-1
2018-04-13 00:38:36,"#OOutroLadoDoParaíso 
Oque vc faria com um mês de vida??",0,0,0
2018-04-11 00:44:22,me acabo com o Samuel e a Suzy KKKKK #OOutroLadoDoParaiso,1,1,1
2018-04-13 01:31:10,bah meu que ranço da Adriana #OOutroLadoDoParaiso,-1,-1,-1
2018-04-13 01:28:55,TOMA ADRIANA SUA BURRA IDIOTA!!!!!!!!! #OOutroLadoDoParaíso,-1,-1,1
2018-04-11 01:22:22,As primas indo tudo embora.. só vai restar a Maira kkkkk #OOutroLadoDoParaiso,1,1,1
2018-04-10 00:29:56,essa cena só ressaltando o quão boa é a Bin em cenas dramáticas #OOutroLadoDoParaíso,1,1,1
2018-04-14 01:07:51,#OOutroLadoDoParaíso todo mundo sabe viado,-1,0,0
2018-04-14 00:54:56,"Clara, o papel de entojada é da Adriana. Não queira tomar o lugar dela #OOutroLadoDoParaiso",-1,-1,-1
2018-04-12 00:14:07,"De novo, colocaram a Adriana na novela só pra me fazer sentir raiva e nojo, pqp #OOutroLadoDoParaiso",-1,-1,-1
2018-04-14 01:11:43,"A chave do cofre, é o cooo é? #OoutroLadoDoParaíso",0,0,0
2018-04-10 00:47:24,Com uma mãe dessa quem precisa de inimigos  #OOutroLadoDoParaiso,-1,-1,0
2018-04-11 00:48:51,Nádia é louca KKKKKKKKKKKKK #OOutroLadoDoParaíso,1,1,1
2018-04-14 00:41:14,"""hoje eu tô vendo o mundo cor de rosa"" as vezes rola né #OOutroLadodoParaíso",0,1,0
2018-04-14 22:48:20,"""Ela é imbatível"", o saudoso José Wilker sobre Gloria Pires! ♥ @gloriapires #OOutroLadoDoParaíso",1,1,1
2018-04-11 01:27:03,Radu ainda tá no páreo! ❤ #OOutroLadoDoParaiso,1,1,1
2018-04-10 00:49:54,"O tigrao tá voltando a ser tigrete rsrsrsrsrs, abre os olhos Susy,  e guarda bem a sua lingerie vermelha #OOutroLadoDoParaiso",1,0,1
2018-04-14 00:39:25,Patrick cadê você? Tô aqui só pra te verrrrrr. Kkkkkkkkkkk  #OOutroLadoDoParaiso,1,1,1
2018-04-14 00:43:06,"É, amor é amor!! Ciduel #OOutroLadodoParaíso",1,1,1
2018-04-13 00:53:46,Beth vai se matar 😱😱😱 #OOutroLadoDoParaiso,-1,-1,0
2018-04-10 01:30:17,PORQUE AQUI NAO TEM UM ENTREGADOR DE PIZZA GOSTOSO ASSIM????? #OOutroLadoDoParaiso,1,1,1
2018-04-10 00:35:43,Leandra  e Gael juntos é química que chama né? #OOutroLadoDoParaiso,1,0,1
2018-04-11 01:34:33,"que final de novela mexicana, esse zoom socorro tô morrendo #OOutroLadoDoParaiso https://t.co/xsZrZpeLaX",-1,1,-1
2018-04-12 00:26:37,Eu amo a atuaçao da barbara paz eh isso #OOutroLadoDoParaiso,1,1,1
2018-04-10 00:59:23,"#OOutroLadoDoParaiso
Me ajuda a te ajudar clara!!! https://t.co/o69O18tCP1",-1,0,-1
2018-04-10 00:31:22,"MEU CLARICK
#clarick #OOutroLadoDoParaiso https://t.co/nv3d1ssAXS",1,0,1
2018-04-11 17:12:25,"Audiência BRASIL: Novelas
Terça 10/04/18

#OOutroLadoDoParaíso 43,3
#DeusSalveORei 23,4
#OrgulhoEPaixão 20,1… https://t.co/E87SzccchD",0,0,0
2018-04-11 01:12:20,"A Lívia pode ser até louca, mas ela realmente ama o Tomaz, de uma forma pura, do jeito dela.❤ #OOutroLadoDoParaíso",1,1,1
2018-04-12 04:45:40,"Assistindo os capítulos atrasados de #OOutroLadoDoParaíso

Nossa, me emocionei demais com a Lívia descobrindo que e… https://t.co/SjqwoOF2fb",1,1,1
2018-04-11 00:47:53,A mulher é  racista até mandandar parar ai aí o filho cagão vai la e fala que ela tinha COMENTÁRIOS  MALDOSOS. NAAA… https://t.co/TlnI7tzGng,-1,-1,-1
2018-04-12 00:28:14,Vixe Sophião já ta ta bolada. #OOutroLadoDoParaíso,-1,-1,0
2018-04-11 01:09:58,"Thomaz puxou a escrotice de Ranciana!
#OOutroLadoDoParaiso",-1,-1,-1
2018-04-10 01:28:18,Que cena linda essa da Nadia e da Raquel! 🏻Que atrizes maravilhosas 👏👏👏  #OOutroLadoDoParaíso,1,1,1
2018-04-10 00:42:20,"Eu só peço pizza no dia que o salário cai na conta, então eu só sou pobre um dia mês de acordo com a  Fabiana #OOutroLadoDoParaíso",0,0,0
2018-04-11 02:00:01,Meio a meio? Vai rolar torta de climão em #OOutroLadoDoParaiso! https://t.co/p4eIMT9hKa,0,0,1
2018-04-10 00:26:00,#OOutroLadoDoParaiso AAAAAAA TADINHO DO MEU PATRICK,-1,-1,-1
2018-04-10 17:22:26,"Eu vejo o Patrick sofrendo e o meu coração parte no meio, dá vontade de pôr no colo, ai vai o vídeo show e joga na… https://t.co/3xzYdAQGzw",-1,-1,-1
2018-04-13 01:35:13,"Minha mãe dizendo aqui que faria o mesmo que a Beth está fazendo agora.... Mãe é mãe ❤️

#OOutroLadoDoParaiso",1,1,1
2018-04-13 00:52:35,Só falta a insuportável da Adriana saber que a Jô não presta aquela q ela tanto idolatrava #OOutroLadoDoParaíso,-1,-1,-1
2018-04-12 00:26:32,#OoutroLadoDoParaíso chocado com essa atitude da Jo !,-1,-1,-1
2018-04-10 00:32:26,Vazou um nude do advogado carneirinho #OOutroLadoDoParaiso https://t.co/DQKoEVeXd0,0,0,0
2018-04-14 00:21:52,Bruno é banana demais pra ser delegado #OOutroLadoDoParaiso,-1,-1,-1
2018-04-10 01:29:39,Mas é o quê???? #Ooutroladodoparaiso,0,0,-1
2018-04-14 01:13:14,"Plantão Da Globo no meio da novela #OOutroLadoDoParaíso

https://t.co/9t8eDyAlUS",0,0,-1
2018-04-13 01:15:33,"Ficar amiga do cara que te espancou, Clara? Ahhhh me poupe! #OOutroLadoDoParaíso",-1,-1,-1
2018-04-10 01:17:15,Desnecessário esse Diego!! Já podem mandar matar na tesourada!! #OOutroLadoDoParaiso,-1,-1,-1
2018-04-14 01:24:16,finalmente o reizinho apareceu #OOutroLadoDoParaíso,-1,0,1
2018-04-14 00:41:53,"#OOutroLadoDoParaiso Sério que o núcleo de Samuel deu esse passo ENORME pra trás? Assume, esconde. Tira casaco, bota casaco affff",-1,-1,-1
2018-04-13 01:01:57,"Sobre o fato de Beth implorar para que a vilã, que não presta e nem gosta da Adriana, doar o rim pra própria filha.… https://t.co/pgCiWWMRvs",0,0,0
2018-04-14 01:30:40,Vou já ligar para @fragosothiago pra vir dormir comigo hoje. #OOutroLadoDoParaiso,1,0,1
2018-04-13 00:40:33,É... fumante não tem que doar mesmo... #OOutroLadoDoParaíso,1,-1,0
2018-04-10 01:17:48,Esse Bruno é um bundão! Ainda não saiu da casa da mãe?! 🙄🙄🙄 #OOutroLadoDoParaiso pelo amoooor!!!!,-1,-1,-1
2018-04-10 01:33:28,"#OOutroLadoDoParaiso 
Gael e Clara 
Melissa e Diego 
Samuel e Suzy 
Patrick e Adriana 
Jô e Henrique 
Walcyr para d… https://t.co/MVaqkJZCaI",0,0,0
2018-04-12 00:12:53,Quando que a lei do retorno vai acontecer pra Jô ein????? #OOutroLadoDoParaiso,-1,-1,-1
2018-04-12 16:50:24,#tbt Casamento de Dona Mercedes e Seu Josafá. #noveladasnove #ooutroladodoparaiso em Central… https://t.co/Y1OceOaDxd,0,0,0
2018-04-10 01:29:44,"Vc tem uma filha? Que estranho
BERROOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO #ooutroladodoparaiso",0,0,1
2018-04-12 00:38:16,@eumarcussoares Eu estou me convencendo pois sempre achei que todas as atitudes dele foi devido a essa criação psic… https://t.co/HWgUjkt2KR,0,-1,0
2018-04-11 00:45:05,"Qdo penso q esse núcleo do Samuel vai melhorar, Walcyr bem e estraga agr
#OOutroLadoDoParaíso",-1,-1,-1
2018-04-10 01:00:48,"E essa voz do Gael, hein.. MEU DEUS! #OOutroLadoDoParaiso https://t.co/06GeOAbGIn",1,0,1
2018-04-14 01:10:15,SOCORRO PLANTÃO DO TRUMP #OOutroLadodoParaíso,0,0,-1
2018-04-11 23:58:36,Essa Juiza é lindaaaaa #OOutroLadoDoParaiso https://t.co/HBsqksH5j8,1,1,1
2018-04-13 01:16:15,AI QUE TRISTE CARAAAAAAA TADINHO DO AMARO #OOutroLadoDoParaiso,-1,-1,-1
2018-04-11 00:49:28,#OOutroLadoDoParaíso Odair se mete em tudo mas na minha vida não quer se meter né,-1,1,0
2018-04-13 01:04:47,Johnny péssimo personagem e o ator é ruim tbm. #OOutroLadoDoParaiso,-1,-1,-1
2018-04-10 00:50:09,É impressionante como a Beth só sofreu a novela inteira. #OOutroLadoDoParaiso,-1,1,0
2018-04-13 01:30:48,#OOutroLadoDoParaíso sabe que vai morre e agr quer o nick,0,0,0
2018-04-10 00:29:06,"EU QUERO MEU CLARICK CARALHO

#OOutroLadoDoParaiso",-1,1,-1
2018-04-14 01:02:46,"Clara ama Patrick, mas é burra e existem milhares de Claras por aí kkkk. 
#OOutroLadoDoParaiso
#Clarick",1,-1,-1
2018-04-11 00:58:51,Tadinho do xodó morrendo de medo #OoutroLadoDoParaíso,-1,-1,-1
2018-04-13 01:03:49,#OOutroLadoDoParaíso.  Sophia é doente mental. Não se intimida com José Vitor.,-1,-1,-1
2018-04-13 00:39:00,Adriana ainda não fez a passagem? Que droga! #OOutroLadoDoParaíso,-1,-1,-1
2018-04-13 01:35:54,O Guizé tá gordinho né #OOutroLadoDoParaíso,0,0,-1
2018-04-10 01:32:51,"Essa novela já virou piada faz tempo, o cara era gay, depois bi e depois hetero. Agora ta voltando a ser gay e não… https://t.co/76WkVwjtA2",-1,0,-1
2018-04-12 00:18:16,"Adriana podia morrer né, tá muito embuste !!! #OOutroLadoDoParaíso",-1,-1,-1
2018-04-14 00:33:16,"#OOutroLadoDoParaíso Apesar de irritante 😒 o Bruno tá certo em ser ponderado. Ele tá prevendo os passos da Sofia, e não ignorando o caso. 😑",1,-1,-1
2018-04-12 00:15:09,"Alguém esfrega a cara dessa chata da Adriana no chapisco, por favor! #OOutroLadoDoParaiso",-1,-1,-1
2018-04-11 01:03:24,"irmão porra nenhuma, PRIMO #OOutroLadoDoParaiso",-1,-1,0
2018-04-10 00:33:01,"Inconformada q a Clara vai deixar de ficar com o príncipe Patrick por causa da embuste da Adriana, Q NOJO! 
#OOutroLadoDoParaíso",-1,-1,-1
2018-04-12 00:18:30,#OoutroLadoDoParaiso Mano que ódio dessa fdp dessa Jô,-1,-1,-1
2018-04-10 01:01:45,"Sérgio Guizé ❤❤
Gael 😡😡
#OOutroLadoDoParaiso",0,0,0
2018-04-13 01:07:42,"#OOutroLadoDoParaíso.  Este sim, vai conseguir resolver as coisas. Bruno é competente.  (E lindo.)",1,1,1
2018-04-14 01:25:42,"Patrick: a
Eu: lindíssimo, quer um beijo? Eu te dou
#OOutroLadoDoParaiso",1,1,1
2018-04-10 01:10:57,"A Andriana falando pro Patrick que ele nunca assumiu a Clara pra insinuar que ele nao ama ela, me poupe, se poupe n… https://t.co/JCtWY2n4t6",-1,0,-1
2018-04-12 00:17:18,#OOutroLadoDoParaíso não esperava essa reação do Gael,0,0,0
2018-04-14 01:06:00,Alguma das quengas já NÃO se apaixonou? Pq olha tão ruim de escola heim #OOutroLadoDoParaiso,-1,-1,0
2018-04-14 00:38:44,Amor eh amor e um lance eh um lance... mas quem dispensa um lance com o amor ali atrás do posto?! #OOutroLadoDoParaíso,1,1,0
2018-04-12 00:33:25,"@CRF_Aparecida Não importa o que Gael faça até o fim dessa novela vou falar mal do Gael kkk
#OOutroLadoDoParaiso… https://t.co/p8l3pRP9We",1,-1,-1
2018-04-11 00:44:14,"Porra, Samuel 

#OOutroLadoDoParaiso",-1,-1,-1
2018-04-14 00:56:58,Esse sorriso de canto de boca do Gael e muito sedutor. #OOutroLadoDoParaiso,1,1,1
2018-04-10 01:08:18,"Daqui a pouco Gael fala:  “Meu nome é Gael, tenho trinta e poucos anos, sou dono de uma mina de esmeraldas, defenso… https://t.co/YdjcOrLHEW",0,0,-1
2018-04-10 01:16:46,"nao acredito que melissa aceitou casar com diego de novo, que mico #OOutroLadoDoParaiso",-1,-1,-1
2018-04-11 00:55:46,saturada do Gael regenerado #OOutroLadoDoParaíso https://t.co/Tv1s2Dizyk,0,-1,-1
2018-04-12 00:04:42,"Credo qualquer pessoa confunde a cabeça da clara, só basta da um papo errado...
#Clarick #OOutroLadoDoParaíso",-1,-1,-1
2018-04-10 00:36:24,"clara ia casar com o renato e não queria que o patrick fosse embora, terminou com ele e disse que ele não precisava… https://t.co/lzLBCQEFYJ",0,0,0
2018-04-10 01:27:39,Que lindo a Nádia reconhecendo o erro e pedindo perdão a Raquel. Que cada vez mais as pessoas tenham a bênção de ev… https://t.co/Q2owyFJhgZ,1,1,1
2018-04-11 01:33:38,Vontade de dar uma surra na Clara pra ela largar a mão de ser burra #OOutroLadoDoParaíso,-1,-1,-1
2018-04-12 00:10:11,"Que nada de ruim aconteça com o Xodó, se não eu surto hein #OoutroLadoDoParaíso",-1,-1,-1
2018-04-13 02:04:21,"A pessoa não quer que a embuste morra, mas também não quer que o Nicolau fique com ela.
Kkkkkkk
Eu era assim... Ant… https://t.co/3EiPvyAwcx",1,1,-1
2018-04-10 01:06:54,"Depois desse sorriso da Clara pro Gael (após ser espancada e estuprada por ela) (segundo o @WalcyrCarrasco, ele mud… https://t.co/NxF3KBkIqR",-1,0,-1
2018-04-14 00:35:18,"#OOutroLadoDoParaíso eu olho pro bruno e a única coisa que me vem na cabeça é aquele tweet ""brancos fedem a danone""",-1,0,-1
2018-04-12 00:15:35,Enqto isso em #OOutroLadoDoParaiso https://t.co/q04PJafiPO,0,0,0
2018-04-13 01:41:25,"#OOutroLadoDoParaiso Esse drama da Beth lembra uma coisa... Tanta gente morrendo pq precisa de sangue, mas se homes… https://t.co/wtKEvw33o4",-1,0,0
2018-04-14 00:32:08,"Só para saber, se você testemunha um crime, não serve de provas? #OOutroLadoDoParaiso",0,0,0
2018-04-12 23:08:58,"O mundo jamais seria o mesmo depois de um encontro desses, bicho! #DeusSalveORei #OOutroLadoDoParaíso https://t.co/oi2BNYTdLU",1,-1,1
2018-04-11 00:41:11,Suzy feminista?? #OoutroLadoDoParaíso,1,0,0
2018-04-11 16:30:13,@babilloon O primeiro teaser de #OOutroLadoDoParaíso foi liberado 1 mês e três dias antes da estreia... Quando estreia #SegundoSol ??,0,0,0
2018-04-14 01:09:49,Aaaaa não creiooo plantão  #OOutroLadoDoParaiso,-1,-1,-1
2018-04-12 00:33:36,Acho Gael um personagem bom. Guizé manda bem. Mas esse sapatinho de riquinho do sertão me incomoda um pouco #OOutroLadoDoParaíso,1,-1,-1
2018-04-10 01:00:13,"MEU DEUS A CLARA É MUITO BURRA &amp; RIDÍCULA

QUE TEXTO RUIM #OOutroLadoDoParaíso",-1,-1,-1
2018-04-13 00:40:53,claro q a Jô ia ser compatível com a Adriana: igualmente insuportáveis #OOutroLadoDoParaíso,-1,-1,-1
2018-04-14 01:23:49,q inferno essa Adriana. pqp #OOutroLadoDoParaiso,-1,-1,-1
2018-04-12 00:03:03,"Veja no site de #MinhaNovela - #OOutroLadoDoParaiso, urgente! Jô se recusa a doar seu rim para Adriana… https://t.co/xP2cfURrgL",0,0,0
2018-04-11 00:59:19,Nunca torci tanto pra Sophia dar uma tesourada em alguém 🤔 ranço do Zé Vitor ✂️✂️⚰️😒#OOutroLadoDoParaiso,-1,-1,-1
2018-04-11 00:34:15,Samuel gostou do entregador de pizza 😂 #OOutroLadoDoParaíso,1,1,1
2018-04-13 00:56:33,#OOutroLadoDoParaíso.  Caetana e sua sabedoria.,1,1,1
2018-04-11 01:28:25,"Quer um suco ? Vai tomar na sua casa

#OOutroLadoDoParaíso",-1,0,0
2018-04-11 00:43:56,Ta uma palhaçada ja essa historia do samuel #OOutroLadoDoParaíso,-1,1,-1
2018-04-13 01:17:44,Amaro pedindo 3 tapas na cara pra voltar a si. #OOutroLadoDoParaiso,-1,-1,0
2018-04-13 00:53:07,"#OOutroLadoDoParaíso.  O sorriso irônico de Jô, desclassificada, deixa Henrique na pior.",0,-1,0
2018-04-14 00:43:37,"N foi pizzaria n Adneia, foi posto de gasolina mesmo kkkkkkkkkkkkkkkk #OOutroLadoDoParaíso",1,1,0
2018-04-12 13:58:47,"#OOutroLadodoParaíso: Gael faz nova descoberta e denuncia Sophia, Confira https://t.co/VDUyCBhMeY",0,0,0
2018-04-14 00:35:46,"#OOutroLadoDoParaíso.  Esse brinco,  Gael vai presentear Lívia.  Lembrança do amado.",1,0,0
2018-04-11 01:43:58,"Gente ainda n superei o término de Clarick, aquela naja da adrianaprecisa de um rim e não de uma piroca #OOUTROLADODOPARAISO",-1,-1,-1
2018-04-13 01:28:08,"AGORA TOMA NA CARA ADRIANA. 

#OOutroLadoDoParaíso",-1,-1,1
2018-04-10 18:34:12,"Audiência BRASIL 🇧🇷 Novelas
Segunda 09/04/18

1⃣ #OOutroLadoDoParaíso 42,2
2⃣ #DeusSalveORei 26,6
3⃣… https://t.co/0hA4zinciG",0,0,0
2018-04-12 00:28:01,Maltratou a mãe para proteger essa mulher idiota #OOutroLadoDoParaiso,-1,-1,-1
2018-04-12 00:00:36,Ah gente mas a raquel ta certa #OOutroLadoDoParaíso,1,1,1
2018-04-10 01:30:17,"Não sei quem é mais ridiculo(a) o Samuel ou a Suzi, ela sabe q o homem gosta da outra coisa e ainda fica com uma co… https://t.co/0eTP5HII3w",-1,-1,-1
2018-04-13 00:45:21,Cada vez mais entendendo pq Henrique banana tomou chifrão da Beth com Renan #ooutroladodoparaíso,-1,0,-1
2018-04-14 00:57:03,GENEROSA????? O PATRICK NÃO É UM RIM E NÃO VAI SALVAR A VIDA DELA #OOutroLadoDoParaiso,-1,-1,-1
2018-04-10 00:30:06,Agora perguntou pk criar um personagem tão incrível como Patrick na vida da Clara para depois ficar com outro que é… https://t.co/Q6tNffajWf,-1,1,-1
2018-04-13 01:38:30,Quero ver agora o tombo da Adriana quando souber sobre o embuste do avô dela que não pq cargas d'água ninguém ainda… https://t.co/PXwBkABvHn,-1,-1,0
2018-04-13 00:39:54,#OOutroLadoDoParaiso Beth tá olhando com uma cara pro Renato vontade dela deve ser pula em cima dele,1,0,0
2018-04-10 00:23:35,Vamos assistir #OOutroLadoDoParaiso,1,0,0
2018-04-13 16:27:30,"Consolidados - GLOBO (11/04):

#DeusSalveORei 24.7
#JN 28.9
#OOutroLadoDoParaíso 39.5
#AGenteTorceJunto 28.7… https://t.co/kwZ7fXJSNJ",0,0,0
2018-04-10 01:25:38,"Nádia Naja me fazendo chorar 😢

#OOutroLadoDoParaiso",-1,-1,-1
2018-04-11 00:31:49,Af coisa idiota essas visões dessas gentes do núcleo Mercedes. Não suporto #OOutroLadoDoParaíso,-1,0,-1
2018-04-11 01:31:52,"Gzuis pq insistem em continuar cortando a franja da Bianca Bin, se fosse ela não deixava mais não kkkkk #OOutroLadoDoParaíso",1,0,-1
